time_slot,total_body_pct,trading_days,candle_count,avg_body_pct
01:00:00,5.728425190494652,65,65,0.08812961831530233
02:00:00,68.37558924681788,784,784,0.08721376179441057
03:00:00,61.22668415045286,784,784,0.0780952603959858
04:00:00,48.96221834958312,784,784,0.06245180911936622
05:00:00,44.76842888827095,784,784,0.05710258786769253
06:00:00,49.72052973674408,784,784,0.06341904303156133
07:00:00,77.21364868645526,784,784,0.09848679679394803
08:00:00,110.49556544917519,784,784,0.14093822123619285
09:00:00,188.37480978465248,784,784,0.24027399207226083
10:00:00,143.55663934256629,784,784,0.18310795834511007
11:00:00,115.76469062355672,784,784,0.1476590441626999
12:00:00,102.0588565585578,784,784,0.13017711295734413
13:00:00,102.89337609831384,784,784,0.13124155114580846
14:00:00,124.6770550822974,782,782,0.1594335742740376
15:00:00,140.77912149080305,783,783,0.17979453574815205
16:00:00,141.93465109249212,783,783,0.1812703079086745
17:00:00,106.29837096278446,783,783,0.1357578173215638
18:00:00,76.26475078614769,783,783,0.09740070343058453
19:00:00,86.31457660855914,783,783,0.1102357300237026
20:00:00,78.16559650486633,783,783,0.09982834802664921
21:00:00,69.55901731332749,781,781,0.08906404265470869
22:00:00,0.0028911641892173105,1,1,0.0028911641892173105
