time_slot,total_body_pct,trading_days,candle_count,avg_body_pct
00:00:00,41.45154993930663,803,803,0.05162085920212532
01:00:00,76.12980716760119,805,805,0.09457118902807601
02:00:00,55.08067846081693,804,804,0.06850830654330463
03:00:00,43.00142834321596,804,804,0.053484363610965126
04:00:00,37.376661445358124,804,804,0.046488384882286224
05:00:00,37.34438810394683,804,804,0.046448243910381624
06:00:00,58.1826457211562,804,804,0.07236647477755746
07:00:00,99.38100777600395,804,804,0.12360821862687059
08:00:00,160.8714652326374,804,804,0.2000888871052704
09:00:00,113.61862160518378,804,804,0.1413166935387858
10:00:00,97.56542745810675,804,804,0.12135003415187408
11:00:00,89.07005703662931,805,805,0.11064603358587492
12:00:00,88.52696002978541,805,805,0.10997137891898809
13:00:00,103.1747412911633,805,805,0.12816738048591714
14:00:00,126.54680508974188,804,804,0.15739652374346005
15:00:00,120.22419208510885,804,804,0.14953257722028465
16:00:00,105.93085703189105,804,804,0.13175479730334708
17:00:00,72.03603042050047,804,804,0.0895970527618165
18:00:00,77.25986733830779,804,804,0.09609436236107934
19:00:00,69.55182128541016,802,802,0.08672296918380319
20:00:00,70.42581185127585,802,802,0.08781273298164072
21:00:00,34.076123795987,624,624,0.05460917274997917
22:00:00,6.691765877976809,385,385,0.017381210072667037
23:00:00,62.059313253452856,803,803,0.0772843253467657
