time_slot,total_body_pct,trading_days,candle_count,avg_body_pct
00:00:00,23.993186638292503,802,802,0.02991669156894327
00:15:00,24.145904703261195,802,802,0.030107113096335656
00:30:00,20.841694253821576,803,803,0.025954787364659497
00:45:00,22.291490024905883,803,803,0.02776026155031866
01:00:00,60.992802904577935,805,805,0.07576745702432042
01:15:00,33.75614803769848,803,803,0.04203754425616249
01:30:00,29.776642479306517,803,803,0.03708174654957225
01:45:00,26.442514087430457,803,803,0.03292965639779633
02:00:00,29.730927574408287,804,804,0.036978765639811305
02:15:00,25.391653089166418,803,803,0.03162098765774149
02:30:00,28.6259883601909,804,804,0.03560446313456579
02:45:00,24.08586567194522,804,804,0.02995754436809107
03:00:00,23.704800383547994,804,804,0.029483582566601982
03:15:00,21.675863484452396,804,804,0.026960029209517906
03:30:00,20.893730924423405,804,804,0.025987227517939557
03:45:00,18.80631475805306,804,804,0.023390938753797337
04:00:00,20.308417268296814,804,804,0.025259225458080615
04:15:00,18.01950922821443,803,803,0.022440235651574634
04:30:00,20.119357683850666,803,803,0.02505523995498215
04:45:00,15.255540650426658,803,803,0.018998182628177658
05:00:00,19.76239853005191,804,804,0.024580097674193918
05:15:00,18.18596515891831,803,803,0.02264752821783102
05:30:00,18.710419289335835,804,804,0.023271665782756013
05:45:00,19.132874177206144,804,804,0.023797107185579782
06:00:00,26.99951967020292,804,804,0.03358149212711806
06:15:00,24.67632840581794,803,803,0.03073017236091898
06:30:00,28.592784955606252,803,803,0.03560745324483967
06:45:00,27.107351276389622,803,803,0.03375759810260227
07:00:00,62.02399800657093,803,803,0.07724034620992644
07:15:00,38.660679903385876,804,804,0.04808542276540532
07:30:00,39.87315983667861,804,804,0.04959348238392862
07:45:00,55.1956625429567,804,804,0.06865132157084167
08:00:00,111.11783923257856,804,804,0.13820626770221214
08:15:00,73.18732617855096,804,804,0.09102901265988926
08:30:00,69.95457052125275,804,804,0.08700817229011536
08:45:00,63.31490450862105,804,804,0.07874988122962817
09:00:00,64.56111285453274,804,804,0.08029989161011535
09:15:00,56.591416065088495,804,804,0.07038733341428917
09:30:00,55.617397575098714,804,804,0.0691758676307198
09:45:00,49.51865235045026,804,804,0.061590363619963014
10:00:00,57.28580699304557,804,804,0.0712510037226935
10:15:00,47.45740078601297,804,804,0.059026617893050956
10:30:00,47.91396673801253,804,804,0.059594485992552904
10:45:00,43.23670522576823,804,804,0.053776996549462976
11:00:00,48.00729604915087,804,804,0.059710567225312025
11:15:00,39.81651023397723,805,805,0.04946150339624501
11:30:00,42.493607960146676,805,805,0.052787090633722576
11:45:00,45.59426485514469,805,805,0.05663883832937228
12:00:00,49.56193321376165,805,805,0.06156761889908279
12:15:00,40.84007838284253,805,805,0.0507330166246491
12:30:00,44.27324594368788,805,805,0.05499782104805948
12:45:00,39.953781787900304,805,805,0.049632027065714665
13:00:00,45.88613716048579,805,805,0.057001412621721474
13:15:00,43.64132547559238,805,805,0.05421282667775451
13:30:00,62.572920242261546,804,804,0.07782701522669347
13:45:00,55.076060704870365,804,804,0.06850256306575916
14:00:00,52.02744195929248,804,804,0.06471074870558767
14:15:00,49.16150486100342,804,804,0.061146150324631124
14:30:00,80.3723953451923,804,804,0.09996566585222923
14:45:00,70.89062363328081,804,804,0.08817241745432937
15:00:00,72.55322917965643,804,804,0.0902403348005677
15:15:00,60.0949445804255,804,804,0.07474495594580285
15:30:00,56.79527035639538,804,804,0.07064088352785494
15:45:00,53.22275763953718,804,804,0.06619745975066814
16:00:00,56.85684542066213,804,804,0.07071746942868425
16:15:00,50.259691582361306,804,804,0.06251205420691705
16:30:00,61.39122910872538,804,804,0.07635725013523058
16:45:00,43.115829691329864,804,804,0.053626653844937644
17:00:00,41.512469757880915,804,804,0.051632425071991186
17:15:00,35.99006454340694,803,803,0.044819507526036036
17:30:00,34.40032196262457,803,803,0.042839753378112785
17:45:00,35.947461864993166,804,804,0.04471077346392185
18:00:00,38.79833266261333,804,804,0.048256632664941956
18:15:00,38.74818303557345,801,801,0.04837476034403676
18:30:00,36.577309106708135,801,801,0.0456645556887742
18:45:00,32.86466150463691,800,800,0.041080826880796145
19:00:00,34.788319603610184,801,801,0.04343111061624243
19:15:00,34.084585549231896,801,801,0.04255254125996492
19:30:00,34.918596835122045,801,801,0.04359375385158807
19:45:00,33.567010559809674,799,799,0.04201127729638257
20:00:00,32.184937232663735,801,801,0.040180945359130756
20:15:00,29.248053722055868,801,801,0.036514424122416816
20:30:00,35.38226423923494,801,801,0.044172614530880075
20:45:00,46.22382694901332,802,802,0.0576356944501413
21:00:00,29.523317229559012,624,624,0.04731300838070355
21:15:00,20.344350246052638,575,575,0.035381478688787195
21:30:00,16.45529764239058,573,573,0.028717796932618812
21:45:00,14.855486894872673,573,573,0.02592580609925423
22:00:00,5.782234630792841,385,385,0.015018791248812573
22:15:00,2.6296202148107124,54,54,0.04869667064464282
22:30:00,1.9698603616709536,54,54,0.03647889558649914
22:45:00,2.2383339142044196,54,54,0.041450628040822585
23:00:00,57.50934022556889,803,803,0.07161810737928878
23:15:00,23.683825396384425,802,802,0.029530954359581578
23:30:00,21.52689077454123,802,802,0.02684150969394168
23:45:00,17.94131861980512,802,802,0.022370721471078703
