time_slot,total_movement_pct,trading_days,candle_count,avg_movement_pct
00:00:00,1217.1380805724236,796,47760,1.5290679404176177
01:00:00,929.2061806986131,796,47760,1.1673444481138355
02:00:00,805.7672050600193,795,47685,1.0135436541635463
03:00:00,731.2490775927058,795,47302,0.9198101604939696
04:00:00,668.89151169777,781,46544,0.8564552006373496
05:00:00,527.8250498463053,770,45872,0.6854870777224744
06:00:00,156.34227453624476,275,16213,0.5685173619499809
07:00:00,381.1267430509438,507,28424,0.7517292762346032
08:00:00,580.0067471499149,796,46566,0.7286516923993905
09:00:00,686.8454455176582,796,47755,0.8628711627106258
10:00:00,980.5699413976456,796,47759,1.2318717856754342
11:00:00,760.7736150083167,796,47758,0.9557457474978853
12:00:00,629.208032975418,796,47752,0.7904623529841934
13:00:00,521.9674032667479,796,47720,0.6557379438024471
14:00:00,697.2210977306287,796,47754,0.8759059016716441
15:00:00,807.3785971332575,796,47759,1.0142947200166552
16:00:00,839.9186311207103,796,47760,1.0551741596993849
17:00:00,830.0575623090783,797,47722,1.0414774934869238
18:00:00,754.823277434852,797,47811,0.9470806492281706
19:00:00,708.9847354812948,797,47820,0.8895667948322394
20:00:00,745.8549687366777,797,47820,0.9358280661689808
21:00:00,1076.607726230758,797,47797,1.3508252524852673
22:00:00,1426.8082403508997,796,47760,1.7924726637574118
23:00:00,1436.0459215492278,796,47760,1.8040777908909897
