time_slot,total_movement_pct,trading_days,candle_count,avg_movement_pct
00:00:00,390.2670774593758,806,48360,0.48420232935406426
01:00:00,484.7391747425455,806,48304,0.6014133681669299
02:00:00,601.1492557547435,805,48300,0.7467692618071349
03:00:00,833.623513132085,805,48251,1.035557159170292
04:00:00,790.2563545351936,804,48240,0.9829059136009871
05:00:00,652.2498082807302,804,48240,0.8112559804486694
06:00:00,667.3150349064678,804,48240,0.829993824510532
07:00:00,747.9293767900817,804,48240,0.9302604188931365
08:00:00,1025.331861763,805,48270,1.2737041761031056
09:00:00,1747.203951643025,805,48202,2.1704396914820188
10:00:00,1984.099131701596,803,48130,2.4708581963905303
11:00:00,1512.492651777238,803,48180,1.8835524928732728
12:00:00,1295.1208805260296,803,48180,1.6128529022740095
13:00:00,1258.0245325598642,789,46514,1.5944544138908292
14:00:00,1277.4365847956094,773,46380,1.6525699673940613
15:00:00,1360.5578772330352,773,46380,1.7601007467439007
16:00:00,673.5273016516275,773,46379,0.8713160435338001
17:00:00,3.8911447691566994,406,406,0.009584100416642117
18:00:00,699.3534598166617,807,48357,0.8666089960553429
19:00:00,525.7497876369173,806,48346,0.6522950218820314
20:00:00,605.7247665138718,806,48360,0.7515195614316028
21:00:00,535.7745128470057,806,48360,0.6647326462121659
22:00:00,447.2275749835228,806,48360,0.5548729218157851
23:00:00,393.3466022349319,806,48332,0.48802307969594527
