time_slot,total_movement_pct,trading_days,candle_count,avg_movement_pct
01:15:00,22.55071131792708,64,951,0.35235486434261065
01:30:00,10.181072850795978,65,957,0.1566318900122458
01:45:00,9.204441321556057,65,968,0.1416067895624009
02:00:00,87.62244309667382,324,4684,0.2704396391872649
02:15:00,218.932015169404,782,11386,0.27996421377161634
02:30:00,133.1374161344378,784,11466,0.16981813282453803
02:45:00,115.36275059699364,784,11326,0.14714636555738983
03:00:00,118.43960950782312,784,11369,0.15107093049467235
03:15:00,110.14636638847833,784,11299,0.14049281427101828
03:30:00,117.03802473503848,784,11304,0.1492831948151001
03:45:00,101.9766252253701,784,11122,0.130072226052768
04:00:00,101.94832764457848,784,11113,0.13003613219971746
04:15:00,91.53406477625093,784,10959,0.1167526336431772
04:30:00,91.45304337799098,783,10964,0.11679826740484162
04:45:00,80.4814423130305,783,10730,0.10278600550834036
05:00:00,86.46707075701951,784,10741,0.11028963106762693
05:15:00,82.12899222792817,784,10604,0.10475636763766348
05:30:00,86.29757402323094,784,10745,0.1100734362541211
05:45:00,77.14383049969697,784,10526,0.09839774298430737
06:00:00,92.25334166589572,784,10879,0.11767007865547924
06:15:00,83.71186702685713,784,10676,0.10677534059548104
06:30:00,90.09495268835727,784,10880,0.11491703149025162
06:45:00,90.94860086537744,784,10849,0.11600586845073653
07:00:00,126.26799322152227,784,11433,0.1610561138029621
07:15:00,117.9207234464759,784,11345,0.15040908602866823
07:30:00,140.26819741840035,784,11528,0.17891351711530656
07:45:00,146.06678092790412,784,11589,0.18630966955089812
08:00:00,255.09012383598696,784,11757,0.3253700559132487
08:15:00,193.20081294288875,784,11752,0.24642960834552136
08:30:00,183.12775541989603,784,11756,0.2335813206886429
08:45:00,204.51164055993098,784,11758,0.26085668438766707
09:00:00,454.1985472965313,784,11760,0.5793348817557797
09:15:00,363.0349646751294,784,11760,0.4630548018815426
09:30:00,332.2221148755672,784,11760,0.42375269754536626
09:45:00,290.8632441797765,784,11760,0.37099903594359246
10:00:00,308.3142344093534,784,11760,0.39325795205274666
10:15:00,270.48063551147465,784,11760,0.3450008106013707
10:30:00,258.4357033047114,784,11760,0.3296373766641727
10:45:00,234.57154281866195,784,11760,0.29919839645237495
11:00:00,245.4233761811229,784,11760,0.3130400206391874
11:15:00,222.0206818726966,784,11760,0.2831896452457865
11:30:00,216.92520992157958,784,11760,0.276690318777525
11:45:00,214.64838545930036,784,11760,0.27378620594298514
12:00:00,222.8927193386512,784,11760,0.2843019379319531
12:15:00,196.06719766887872,784,11759,0.2500857113123453
12:30:00,196.3531923986835,784,11755,0.25045050050852485
12:45:00,185.93313359564408,784,11760,0.23715960917811746
13:00:00,217.22508913611645,784,11760,0.27707281777565873
13:15:00,190.8727744286608,784,11760,0.24346017146512855
13:30:00,202.9443906722309,784,11753,0.2588576411635598
13:45:00,191.1335708904262,783,11744,0.24410417738240894
14:00:00,209.85393807291712,782,11730,0.26835541953058456
14:15:00,207.66279790410576,782,11730,0.2655534500052503
14:30:00,293.9555844401201,782,11730,0.3759022818927367
14:45:00,242.6470636939117,782,11728,0.3102903627799382
15:00:00,240.95163496718348,783,11741,0.30772878029014494
15:15:00,216.48544716909814,783,11733,0.27648205257866937
15:30:00,319.7509861458512,783,11742,0.4083665212590692
15:45:00,303.42038689395633,783,11745,0.38751007266150234
16:00:00,326.03420265370363,783,11745,0.41639106341469173
16:15:00,282.3053013510396,783,11745,0.3605431690307019
16:30:00,269.80816384531647,783,11745,0.34458258473220493
16:45:00,241.66912562295195,783,11745,0.3086451157381251
17:00:00,246.89141568085444,783,11744,0.315314707127528
17:15:00,204.0131794738858,783,11744,0.2605532304902756
17:30:00,224.84299180039415,783,11744,0.2871558005113591
17:45:00,176.40869235131632,783,11726,0.22529845766451637
18:00:00,168.03124225218832,783,11718,0.21459928767840142
18:15:00,157.39716670643475,783,11715,0.2010180928562385
18:30:00,155.2779680638607,783,11718,0.19831158117989872
18:45:00,148.16136868922385,783,11716,0.18922269308968562
19:00:00,161.11984440237885,783,11675,0.2057724705011224
19:15:00,158.32060018145032,783,11634,0.20219744595332095
19:30:00,159.3411791513127,783,11619,0.20350086737076972
19:45:00,146.76143326385818,783,11591,0.18743478066903982
20:00:00,157.10532022210782,783,11582,0.20064536426833693
20:15:00,147.29634102727692,783,11568,0.1881179323464584
20:30:00,146.92348937399476,783,11572,0.18764174888121934
20:45:00,140.89025120440382,783,11553,0.17993646386258472
21:00:00,136.93846755933765,781,11550,0.1753373464268088
21:15:00,131.529203981828,781,11545,0.16841127270400513
21:30:00,144.4325717360337,781,11579,0.18493287034063216
21:45:00,150.42578326365316,781,10310,0.19260663670122044
22:00:00,0.1230725929855974,1,15,0.1230725929855974
22:15:00,0.07228221874486424,1,15,0.07228221874486424
22:30:00,0.07432761115446515,1,15,0.07432761115446515
22:45:00,0.04336675507466671,1,10,0.04336675507466671
