time_slot,total_movement_pct,trading_days,candle_count,avg_movement_pct
00:00:00,176.56268788252922,802,22918,0.22015297740963743
00:30:00,161.02034747776563,803,22564,0.2005234713297206
01:00:00,332.8542029609606,805,23386,0.4134834819390815
01:30:00,209.88889823600118,804,23356,0.2610558435771159
02:00:00,202.15895920903796,804,23416,0.2514414915535298
02:30:00,191.0137992502259,804,23346,0.237579352301276
03:00:00,171.429026317089,804,23072,0.2132201819864291
03:30:00,150.14343043379074,804,22575,0.18674556024103325
04:00:00,142.7899721785921,804,22211,0.17759946788382103
04:30:00,136.25224058143053,803,21996,0.16967900446006293
05:00:00,145.53447613722932,804,22175,0.1810130300214295
05:30:00,143.48118400953743,804,22384,0.17845918409146447
06:00:00,189.25023215604497,804,23188,0.2353858608906032
06:30:00,214.48069698623613,803,23460,0.2670992490488619
07:00:00,360.52562005945447,804,23977,0.44841495032270456
07:30:00,342.9640040993286,804,23974,0.42657214440214997
08:00:00,724.6911726731701,804,24107,0.9013571799417538
08:30:00,505.1482963921114,804,24094,0.6282939009852132
09:00:00,468.8489360590632,804,24069,0.5831454428595313
09:30:00,406.6882005935124,804,24060,0.5058310952655627
10:00:00,389.87048464437623,804,24047,0.4849135381148958
10:30:00,348.41613219278645,804,24040,0.4333533982497344
11:00:00,338.2745269719565,805,24036,0.4202168036918714
11:30:00,325.22484003201043,805,24055,0.40400601246212475
12:00:00,347.50989603362996,805,24065,0.43168931184301856
12:30:00,325.84312195959706,805,24008,0.4047740645460833
13:00:00,348.6304880831972,805,24029,0.4330813516561456
13:30:00,429.9752298978507,804,23997,0.5347950620620033
14:00:00,385.8524208508576,804,23993,0.4799159463319124
14:30:00,566.2608792060024,804,24063,0.7043045761268687
15:00:00,510.32803168004415,804,24055,0.6347363578110001
15:30:00,435.3841466860528,804,24047,0.5415225705050408
16:00:00,400.87144356591665,804,24038,0.4985963228431799
16:30:00,399.7358717475109,804,24001,0.4971839200839688
17:00:00,297.24970377249616,804,23907,0.3697135619060897
17:30:00,272.31903969027167,804,23872,0.33870527324660654
18:00:00,281.71863933894855,804,23655,0.3503963175857569
18:30:00,262.95597569747986,801,23561,0.32828461385453167
19:00:00,264.59977765976834,802,23606,0.3299249098002099
19:30:00,262.090823809082,801,23613,0.3272045241062197
20:00:00,241.8319265568454,801,23592,0.30191251754912035
20:30:00,310.6532634582543,802,23630,0.38734820880081583
21:00:00,206.50541616703805,624,16821,0.33093816693435585
21:30:00,115.83175525485528,573,15805,0.20214966013063748
22:00:00,26.293193295636833,385,1897,0.06829400856009567
22:30:00,16.141297377310533,54,1561,0.2989129143946395
23:00:00,262.50667796763923,803,22839,0.32690744454251464
23:30:00,158.82675434762632,802,22528,0.19803834706686574
